Unnamed: 0.1,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,QED,mol
3334,3945,COC=1C=CC(=CC1OC)CCNC2CC3CCC(C2)N3C,Z363933558,304.428,304.428,1.439,-1.77,1,4,33.73,6,https://real.enamine.net/public-enum-files/Z363933558,0.8751988478254304,<rdkit.Chem.rdchem.Mol object at 0x1430ab8b0>
3341,3952,COC(=O)C1CCN(CC1)C(=O)CC=2C=C(Cl)C=CC2OC,Z116872196,325.787,325.787,1.88,-2.629,0,3,55.84,6,https://real.enamine.net/public-enum-files/Z116872196,0.7970978219784036,<rdkit.Chem.rdchem.Mol object at 0x1430abbc0>
3344,3955,CC(C)N1N=CC=2C=C(C=NC21)NC(=O)C=3C=CC(F)=CC3,Z146325730,298.316,298.316,2.859,-3.53,1,3,59.81,3,https://real.enamine.net/public-enum-files/Z146325730,0.8058356822827608,<rdkit.Chem.rdchem.Mol object at 0x1430abd10>
3345,3956,O=C(NC=1C=CC=C(C1)C2=CN=CO2)C=3C=C(Cl)C=CC3F,Z605671940,316.714,316.714,3.165,-5.314,1,2,55.13,4,https://real.enamine.net/public-enum-files/Z605671940,0.7794999496276424,<rdkit.Chem.rdchem.Mol object at 0x1430abd80>
3346,3957,CC=1C=C(NC(=O)C=2C=CC(F)=CC2)N(N1)C=3C=CC=CC3,Z56776961,295.312,295.312,3.548,-4.606,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z56776961,0.8026182369566668,<rdkit.Chem.rdchem.Mol object at 0x1430abdf0>
3365,3976,O=S(=O)(C=1C=CC(F)=CC1)N2CCN(CC2)C=3C=CC=CC3Cl,Z45534782,354.828,354.828,4.302,-4.762,0,3,40.62,3,https://real.enamine.net/public-enum-files/Z45534782,0.8504266126104688,<rdkit.Chem.rdchem.Mol object at 0x1430a4510>
3370,3981,CC1CC(C)CN(C1)S(=O)(=O)NCCC=2C=CC(=CC2)C(=O)O,Z300443560,340.44,340.44,3.059,-3.412,2,5,86.71,6,https://real.enamine.net/public-enum-files/Z300443560,0.8256990761897377,<rdkit.Chem.rdchem.Mol object at 0x1430a4740>
3371,3982,COC=1C=CC(=CC1S(=O)(=O)NC(C)CC2=CC=CO2)C(=O)O,Z369313416,339.365,339.365,2.33,-2.976,2,5,105.84,7,https://real.enamine.net/public-enum-files/Z369313416,0.7978516180779096,<rdkit.Chem.rdchem.Mol object at 0x1430a47b0>
3403,4015,O=C(O)C1CC=2C=CC=CC2CN1C(=O)C=3C=CC=4OCCOC4C3,Z361885580,339.343,339.343,2.786,-4.411,1,5,76.07,3,https://real.enamine.net/public-enum-files/Z361885580,0.9068099143261384,<rdkit.Chem.rdchem.Mol object at 0x1430a5460>
3405,4018,COC=1C=CC(=CC1)C2CCCN2C(=O)CC3=CNC=4C=CC=CC34,Z140539266,334.412,334.412,3.157,-4.293,1,2,45.33,5,https://real.enamine.net/public-enum-files/Z140539266,0.7811504883809812,<rdkit.Chem.rdchem.Mol object at 0x1430a5540>
