,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
25168,COC=1C=CC(=CC1OC)CC(=O)N2CCCC2C=3C=CN=CC3,Z288538596,326.39,326.39,1.409,-2.511,0,4,51.66,6,https://real.enamine.net/public-enum-files/Z288538596,<rdkit.Chem.rdchem.Mol object at 0x309cf2c70>,0.8474106459485233
25169,CC(=O)NCC=1C=CC(=CC1)C(=O)NC2=NC(=CS2)C=3C=CC=CC3,Z87524093,351.424,351.424,2.792,-5.386,2,3,71.09,7,https://real.enamine.net/public-enum-files/Z87524093,<rdkit.Chem.rdchem.Mol object at 0x309cf2ce0>,0.7361910500997337
25170,CC1=CC(Cl)=C(NC(=O)C2COC=3C=CC=CC3O2)C(C)=C1,Z29389285,317.767,317.767,3.051,-5.65,1,3,47.56,3,https://real.enamine.net/public-enum-files/Z29389285,<rdkit.Chem.rdchem.Mol object at 0x309cf2d50>,0.9176429452144209
25172,COC=1C=CC(C2=CSC(=N2)NC(=O)C=3C=CN=CC3)=C(C1)OC,Z29465435,341.386,341.386,2.292,-4.31,1,5,73.34,6,https://real.enamine.net/public-enum-files/Z29465435,<rdkit.Chem.rdchem.Mol object at 0x309cf2e30>,0.7690297949342798
25174,COC=1C=CC(C2=CSC(=N2)NC(=O)C=3C=CC=C(C3)NC(C)=O)=C(C1)OC,Z29465789,397.45,397.45,2.822,-5.52,2,5,89.55,6,https://real.enamine.net/public-enum-files/Z29465789,<rdkit.Chem.rdchem.Mol object at 0x309cf2f10>,0.6552589721246691
25175,COC=1C=CC(=CC1OC)CC(=O)NCC23CC4CC(CC(C4)C3)C2,Z29444269,343.461,343.461,4.666,-4.625,1,3,47.56,7,https://real.enamine.net/public-enum-files/Z29444269,<rdkit.Chem.rdchem.Mol object at 0x309cf2f80>,0.8587223136420445
25176,COC=1C=CC(=CC1)CC(=O)NC2=NC(=CS2)C=3C=CC=CN3,Z29467650,325.387,325.387,2.772,-3.732,1,4,64.11,6,https://real.enamine.net/public-enum-files/Z29467650,<rdkit.Chem.rdchem.Mol object at 0x309cf2ff0>,0.7807387801152638
25177,CCC=1C=CC(=CC1)C(=O)N2CCN(CC2)S(=O)(=O)C3=CC(C)=CC=C3C,Z29484703,386.51,386.51,4.475,-5.856,0,3,57.69,3,https://real.enamine.net/public-enum-files/Z29484703,<rdkit.Chem.rdchem.Mol object at 0x309cf3060>,0.8116077451381037
25183,O=C(CC=1C=CC=CC1Cl)N2CCN(CC2)S(=O)(=O)C=3C=CC=CC3F,Z29531719,396.865,396.865,3.778,-4.597,0,3,57.69,3,https://real.enamine.net/public-enum-files/Z29531719,<rdkit.Chem.rdchem.Mol object at 0x309cf3300>,0.797635873361709
25184,CC=1C=CC(=CC1C)S(=O)(=O)N2CCN(CC2)C(=O)C3CC3,Z29541899,322.424,322.424,2.396,-3.609,0,3,57.69,4,https://real.enamine.net/public-enum-files/Z29541899,<rdkit.Chem.rdchem.Mol object at 0x309cf3370>,0.8481669183267175
